DSC_PROCEDENCIA,DSC_CLASSE,count(PROCESSO.SEQ_OBJETO_INCIDENTE)
PARÁ,"RECURSO EXTRAORDINÁRIO COM AGRAVO",84
PARÁ,"RECURSO ORD. EM MANDADO DE SEGURANÇA",7
PARÁ,"RECURSO ORDINÁRIO EM HABEAS CORPUS",45
PARÁ,REPRESENTAÇÃO,11
PARÁ,"SUSPENSÃO DE LIMINAR",48
PARÁ,"SUSPENSÃO DE SEGURANÇA",98
PARÁ,"SUSPENSÃO DE TUTELA ANTECIPADA",20
PARAÍBA,"AÇÃO CAUTELAR",46
PARAÍBA,"AÇÃO CÍVEL ORIGINÁRIA",42
PARAÍBA,"AÇÃO DIRETA DE INCONSTITUCIONALIDADE",53
PARAÍBA,"AÇÃO ORIGINÁRIA",19
PARAÍBA,"AÇÃO PENAL",10
PARAÍBA,"AÇÃO RESCISÓRIA",22
PARAÍBA,"AGRAVO DE INSTRUMENTO",7957
PARAÍBA,"ARGÜIÇÃO DE DESCUMPRIMENTO DE PRECEITO FUNDAMENTAL",4
PARAÍBA,"ARGUIÇÃO DE RELEVÂNCIA",53
PARAÍBA,"ARGÜIÇÃO DE SUSPEIÇÃO",1
PARAÍBA,"CONFLITO DE COMPETÊNCIA",3
PARAÍBA,"EXCEÇÃO DE LITISPENDÊNCIA",1
PARAÍBA,"EXCEÇÃO DE SUSPEIÇÃO",1
PARAÍBA,"HABEAS CORPUS",369
PARAÍBA,INQUÉRITO,42
PARAÍBA,"INTERVENÇÃO FEDERAL",48
PARAÍBA,"MANDADO DE INJUNÇÃO",2
PARAÍBA,"MANDADO DE SEGURANÇA",77
PARAÍBA,PETIÇÃO,62
PARAÍBA,RECLAMAÇÃO,358
PARAÍBA,"RECURSO EXTRAORDINÁRIO",7218
PARAÍBA,"RECURSO EXTRAORDINÁRIO COM AGRAVO",66
PARAÍBA,"RECURSO ORD. EM MANDADO DE SEGURANÇA",3
PARAÍBA,"RECURSO ORDINÁRIO EM HABEAS CORPUS",22
PARAÍBA,REPRESENTAÇÃO,3
PARAÍBA,"SUSPENSÃO DE LIMINAR",4
PARAÍBA,"SUSPENSÃO DE SEGURANÇA",45
PARAÍBA,"SUSPENSÃO DE TUTELA ANTECIPADA",9
PARANÁ,"AÇÃO CAUTELAR",192
PARANÁ,"AÇÃO CÍVEL ORIGINÁRIA",96
PARANÁ,"AÇÃO DIRETA DE INCONSTITUCIONALIDADE",180
PARANÁ,"AÇÃO DIRETA DE INCONSTITUCIONALIDADE POR OMISSÃO",1
PARANÁ,"AÇÃO ORIGINÁRIA",47
PARANÁ,"AÇÃO PENAL",34
PARANÁ,"AÇÃO RESCISÓRIA",70
PARANÁ,"AGRAVO DE INSTRUMENTO",43517
PARANÁ,"ARGÜIÇÃO DE DESCUMPRIMENTO DE PRECEITO FUNDAMENTAL",5
PARANÁ,"ARGUIÇÃO DE RELEVÂNCIA",557
PARANÁ,"ARGÜIÇÃO DE SUSPEIÇÃO",2
PARANÁ,"CONFLITO DE COMPETÊNCIA",49
PARANÁ,"EXCEÇÃO DE INCOMPETÊNCIA",1
PARANÁ,"EXCEÇÃO DE LITISPENDÊNCIA",1
PARANÁ,"HABEAS CORPUS",2231
PARANÁ,"HABEAS DATA",10
PARANÁ,INQUÉRITO,117
PARANÁ,"INTERVENÇÃO FEDERAL",30
PARANÁ,"MANDADO DE INJUNÇÃO",35
PARANÁ,"MANDADO DE SEGURANÇA",166
PARANÁ,PETIÇÃO,281
PARANÁ,"PETIÇÃO AVULSA",1
PARANÁ,RECLAMAÇÃO,508
PARANÁ,"RECURSO CRIME",1
PARANÁ,"RECURSO EXTRAORDINÁRIO",39703
PARANÁ,"RECURSO EXTRAORDINÁRIO COM AGRAVO",522
PARANÁ,"RECURSO ORD. EM MANDADO DE SEGURANÇA",14
PARANÁ,"RECURSO ORDINÁRIO EM HABEAS CORPUS",122
PARANÁ,REPRESENTAÇÃO,3
PARANÁ,"REVISÃO CRIMINAL",17
PARANÁ,"SUSPENSÃO DE LIMINAR",33
PARANÁ,"SUSPENSÃO DE SEGURANÇA",160
PARANÁ,"SUSPENSÃO DE TUTELA ANTECIPADA",55
PERNAMBUCO,"AÇÃO CAUTELAR",109
PERNAMBUCO,"AÇÃO CÍVEL ORIGINÁRIA",41
PERNAMBUCO,"AÇÃO DIRETA DE INCONSTITUCIONALIDADE",103
PERNAMBUCO,"AÇÃO ORIGINÁRIA",39
PERNAMBUCO,"AÇÃO ORIGINÁRIA ESPECIAL",1
PERNAMBUCO,"AÇÃO PENAL",13
PERNAMBUCO,"AÇÃO RESCISÓRIA",33
PERNAMBUCO,"AGRAVO DE INSTRUMENTO",12134
PERNAMBUCO,"ARGÜIÇÃO DE DESCUMPRIMENTO DE PRECEITO FUNDAMENTAL",4
PERNAMBUCO,"ARGÜIÇÃO DE IMPEDIMENTO",2
PERNAMBUCO,"ARGUIÇÃO DE RELEVÂNCIA",46
PERNAMBUCO,"CONFLITO DE COMPETÊNCIA",17
PERNAMBUCO,"CONFLITO DE JURISDIÇÃO",1
PERNAMBUCO,"EXCEÇÃO DE INCOMPETÊNCIA",2
PERNAMBUCO,"HABEAS CORPUS",1521
PERNAMBUCO,"HABEAS DATA",2
PERNAMBUCO,INQUÉRITO,21
PERNAMBUCO,"MANDADO DE INJUNÇÃO",9
PERNAMBUCO,"MANDADO DE SEGURANÇA",117
PERNAMBUCO,PETIÇÃO,136
PERNAMBUCO,RECLAMAÇÃO,375
PERNAMBUCO,"RECURSO EXTRAORDINÁRIO",19660
PERNAMBUCO,"RECURSO EXTRAORDINÁRIO COM AGRAVO",44
PERNAMBUCO,"RECURSO ORD. EM MANDADO DE SEGURANÇA",12
PERNAMBUCO,"RECURSO ORDINÁRIO EM HABEAS CORPUS",75
PERNAMBUCO,"RECURSO ORDINÁRIO EM MANDADO DE INJUNÇÃO",1
PERNAMBUCO,"REVISÃO CRIMINAL",11
PERNAMBUCO,"SUSPENSÃO DE LIMINAR",25
PERNAMBUCO,"SUSPENSÃO DE SEGURANÇA",422
PERNAMBUCO,"SUSPENSÃO DE TUTELA ANTECIPADA",68
PIAUÍ,"AÇÃO CAUTELAR",73
PIAUÍ,"AÇÃO CÍVEL ORIGINÁRIA",37
PIAUÍ,"AÇÃO DIRETA DE INCONSTITUCIONALIDADE",54
PIAUÍ,"AÇÃO ORIGINÁRIA",35
PIAUÍ,"AÇÃO PENAL",4
PIAUÍ,"AÇÃO RESCISÓRIA",7
PIAUÍ,"AGRAVO DE INSTRUMENTO",2624
PIAUÍ,"ARGÜIÇÃO DE DESCUMPRIMENTO DE PRECEITO FUNDAMENTAL",20
PIAUÍ,"ARGUIÇÃO DE RELEVÂNCIA",6
PIAUÍ,"CONFLITO DE COMPETÊNCIA",3
PIAUÍ,"HABEAS CORPUS",362
PIAUÍ,"HABEAS DATA",1
PIAUÍ,INQUÉRITO,26
PIAUÍ,"INTERVENÇÃO FEDERAL",12
PIAUÍ,"MANDADO DE INJUNÇÃO",1
PIAUÍ,"MANDADO DE SEGURANÇA",22
PIAUÍ,PETIÇÃO,39
PIAUÍ,RECLAMAÇÃO,318
PIAUÍ,"RECURSO EXTRAORDINÁRIO",998
PIAUÍ,"RECURSO EXTRAORDINÁRIO COM AGRAVO",7
PIAUÍ,"RECURSO ORD. EM MANDADO DE SEGURANÇA",2
PIAUÍ,"RECURSO ORDINÁRIO EM HABEAS CORPUS",12
PIAUÍ,"REVISÃO CRIMINAL",1
PIAUÍ,"SUSPENSÃO DE LIMINAR",7
PIAUÍ,"SUSPENSÃO DE SEGURANÇA",114
PIAUÍ,"SUSPENSÃO DE TUTELA ANTECIPADA",24
"RIO DE JANEIRO","AÇÃO CAUTELAR",523
"RIO DE JANEIRO","AÇÃO CÍVEL ORIGINÁRIA",159
"RIO DE JANEIRO","AÇÃO DECLARATÓRIA DE CONSTITUCIONALIDADE",1
"RIO DE JANEIRO","AÇÃO DIRETA DE INCONSTITUCIONALIDADE",306
"RIO DE JANEIRO","AÇÃO DIRETA DE INCONSTITUCIONALIDADE POR OMISSÃO",1
"RIO DE JANEIRO","AÇÃO ORIGINÁRIA",48
"RIO DE JANEIRO","AÇÃO ORIGINÁRIA ESPECIAL",4
"RIO DE JANEIRO","AÇÃO PENAL",26
"RIO DE JANEIRO","AÇÃO RESCISÓRIA",124
"RIO DE JANEIRO","AGRAVO DE INSTRUMENTO",91662
"RIO DE JANEIRO","APELAÇÃO CÍVEL",1
"RIO DE JANEIRO","ARGÜIÇÃO DE DESCUMPRIMENTO DE PRECEITO FUNDAMENTAL",18
"RIO DE JANEIRO","ARGUIÇÃO DE RELEVÂNCIA",1625
"RIO DE JANEIRO","ARGÜIÇÃO DE SUSPEIÇÃO",4
"RIO DE JANEIRO","CARTA ROGATÓRIA",1
"RIO DE JANEIRO",COMUNICAÇÃO,2
"RIO DE JANEIRO","CONFLITO DE COMPETÊNCIA",66
"RIO DE JANEIRO","CONFLITO DE JURISDIÇÃO",2
"RIO DE JANEIRO","EXCEÇÃO DA VERDADE",1
"RIO DE JANEIRO","EXCEÇÃO DE INCOMPETÊNCIA",1
"RIO DE JANEIRO","EXCEÇÃO DE SUSPEIÇÃO",2
"RIO DE JANEIRO",EXTRADIÇÃO,1
"RIO DE JANEIRO","HABEAS CORPUS",6447
"RIO DE JANEIRO","HABEAS DATA",3
"RIO DE JANEIRO",INQUÉRITO,198
"RIO DE JANEIRO","INTERVENÇÃO FEDERAL",39
"RIO DE JANEIRO","MANDADO DE INJUNÇÃO",135
"RIO DE JANEIRO","MANDADO DE SEGURANÇA",400
"RIO DE JANEIRO",PETIÇÃO,703
"RIO DE JANEIRO","PETIÇÃO AVULSA",1
"RIO DE JANEIRO",RECLAMAÇÃO,871
"RIO DE JANEIRO","RECURSO CRIME",3
"RIO DE JANEIRO","RECURSO EXTRAORDINÁRIO",53173
"RIO DE JANEIRO","RECURSO EXTRAORDINÁRIO COM AGRAVO",834
"RIO DE JANEIRO","RECURSO ORD. EM MANDADO DE SEGURANÇA",43
"RIO DE JANEIRO","RECURSO ORDINÁRIO EM HABEAS CORPUS",421
"RIO DE JANEIRO",REPRESENTAÇÃO,9
"RIO DE JANEIRO","REVISÃO CRIMINAL",65
"RIO DE JANEIRO","SUSPENSÃO DE LIMINAR",48
"RIO DE JANEIRO","SUSPENSÃO DE SEGURANÇA",384
"RIO DE JANEIRO","SUSPENSÃO DE TUTELA ANTECIPADA",89
"RIO GRANDE DO NORTE","AÇÃO CAUTELAR",36
"RIO GRANDE DO NORTE","AÇÃO CÍVEL ORIGINÁRIA",24
"RIO GRANDE DO NORTE","AÇÃO DIRETA DE INCONSTITUCIONALIDADE",71
"RIO GRANDE DO NORTE","AÇÃO ORIGINÁRIA",15
"RIO GRANDE DO NORTE","AÇÃO PENAL",1
"RIO GRANDE DO NORTE","AÇÃO RESCISÓRIA",4
"RIO GRANDE DO NORTE","AGRAVO DE INSTRUMENTO",6288
"RIO GRANDE DO NORTE","ARGÜIÇÃO DE DESCUMPRIMENTO DE PRECEITO FUNDAMENTAL",2
"RIO GRANDE DO NORTE","ARGUIÇÃO DE RELEVÂNCIA",43
"RIO GRANDE DO NORTE","HABEAS CORPUS",269
"RIO GRANDE DO NORTE",INQUÉRITO,8
"RIO GRANDE DO NORTE","INTERVENÇÃO FEDERAL",1
"RIO GRANDE DO NORTE","MANDADO DE INJUNÇÃO",1
"RIO GRANDE DO NORTE","MANDADO DE SEGURANÇA",31
"RIO GRANDE DO NORTE",PETIÇÃO,31
"RIO GRANDE DO NORTE",RECLAMAÇÃO,1118
"RIO GRANDE DO NORTE","RECURSO EXTRAORDINÁRIO",14670
"RIO GRANDE DO NORTE","RECURSO EXTRAORDINÁRIO COM AGRAVO",39
"RIO GRANDE DO NORTE","RECURSO ORD. EM MANDADO DE SEGURANÇA",1
"RIO GRANDE DO NORTE","RECURSO ORDINÁRIO EM HABEAS CORPUS",6
"RIO GRANDE DO NORTE",REPRESENTAÇÃO,1
"RIO GRANDE DO NORTE","REVISÃO CRIMINAL",2
"RIO GRANDE DO NORTE","SUSPENSÃO DE LIMINAR",13
"RIO GRANDE DO NORTE","SUSPENSÃO DE SEGURANÇA",100
"RIO GRANDE DO NORTE","SUSPENSÃO DE TUTELA ANTECIPADA",30
"RIO GRANDE DO SUL","AÇÃO CAUTELAR",270
"RIO GRANDE DO SUL","AÇÃO CÍVEL ORIGINÁRIA",83
"RIO GRANDE DO SUL","AÇÃO DIRETA DE INCONSTITUCIONALIDADE",220
"RIO GRANDE DO SUL","AÇÃO ORIGINÁRIA",189
"RIO GRANDE DO SUL","AÇÃO ORIGINÁRIA ESPECIAL",4
"RIO GRANDE DO SUL","AÇÃO PENAL",7
"RIO GRANDE DO SUL","AÇÃO RESCISÓRIA",71
"RIO GRANDE DO SUL","AGRAVO DE INSTRUMENTO",113794
"RIO GRANDE DO SUL","ARGÜIÇÃO DE DESCUMPRIMENTO DE PRECEITO FUNDAMENTAL",6
"RIO GRANDE DO SUL","ARGÜIÇÃO DE IMPEDIMENTO",1
"RIO GRANDE DO SUL","ARGUIÇÃO DE RELEVÂNCIA",961
"RIO GRANDE DO SUL","ARGÜIÇÃO DE SUSPEIÇÃO",1
"RIO GRANDE DO SUL","CARTA ROGATÓRIA",2
"RIO GRANDE DO SUL",COMUNICAÇÃO,1
"RIO GRANDE DO SUL","CONFLITO DE COMPETÊNCIA",81
"RIO GRANDE DO SUL","CONFLITO DE JURISDIÇÃO",1
"RIO GRANDE DO SUL","EXCEÇÃO DE SUSPEIÇÃO",1
"RIO GRANDE DO SUL","HABEAS CORPUS",5051
"RIO GRANDE DO SUL","HABEAS DATA",3
"RIO GRANDE DO SUL",INQUÉRITO,51
"RIO GRANDE DO SUL","INTERVENÇÃO FEDERAL",977
"RIO GRANDE DO SUL","MANDADO DE INJUNÇÃO",46
"RIO GRANDE DO SUL","MANDADO DE SEGURANÇA",156
"RIO GRANDE DO SUL",PETIÇÃO,402
"RIO GRANDE DO SUL","PETIÇÃO AVULSA",5
"RIO GRANDE DO SUL",RECLAMAÇÃO,1235
"RIO GRANDE DO SUL","RECURSO EXTRAORDINÁRIO",104476
"RIO GRANDE DO SUL","RECURSO EXTRAORDINÁRIO COM AGRAVO",1822
"RIO GRANDE DO SUL","RECURSO ORD. EM MANDADO DE SEGURANÇA",26
"RIO GRANDE DO SUL","RECURSO ORDINÁRIO EM HABEAS CORPUS",209
"RIO GRANDE DO SUL",REPRESENTAÇÃO,73
"RIO GRANDE DO SUL","REVISÃO CRIMINAL",44
"RIO GRANDE DO SUL","SUSPENSÃO DE LIMINAR",40
"RIO GRANDE DO SUL","SUSPENSÃO DE SEGURANÇA",96
"RIO GRANDE DO SUL","SUSPENSÃO DE TUTELA ANTECIPADA",30
RONDÔNIA,"AÇÃO CAUTELAR",73
RONDÔNIA,"AÇÃO CÍVEL ORIGINÁRIA",21
RONDÔNIA,"AÇÃO DIRETA DE INCONSTITUCIONALIDADE",126
RONDÔNIA,"AÇÃO ORIGINÁRIA",21
RONDÔNIA,"AÇÃO PENAL",27
RONDÔNIA,"AÇÃO RESCISÓRIA",3
RONDÔNIA,"AGRAVO DE INSTRUMENTO",2425
RONDÔNIA,"ARGÜIÇÃO DE DESCUMPRIMENTO DE PRECEITO FUNDAMENTAL",2
RONDÔNIA,"ARGUIÇÃO DE RELEVÂNCIA",7
RONDÔNIA,"CONFLITO DE COMPETÊNCIA",7
RONDÔNIA,"HABEAS CORPUS",285
RONDÔNIA,"HABEAS DATA",1
RONDÔNIA,INQUÉRITO,96
RONDÔNIA,"INTERVENÇÃO FEDERAL",8
RONDÔNIA,"MANDADO DE INJUNÇÃO",4
RONDÔNIA,"MANDADO DE SEGURANÇA",36
RONDÔNIA,PETIÇÃO,56
RONDÔNIA,RECLAMAÇÃO,174
RONDÔNIA,"RECURSO EXTRAORDINÁRIO",2065
RONDÔNIA,"RECURSO EXTRAORDINÁRIO COM AGRAVO",42
RONDÔNIA,"RECURSO ORD. EM MANDADO DE SEGURANÇA",1
RONDÔNIA,"RECURSO ORDINÁRIO EM HABEAS CORPUS",14
RONDÔNIA,"REVISÃO CRIMINAL",1
RONDÔNIA,"SUSPENSÃO DE LIMINAR",13
RONDÔNIA,"SUSPENSÃO DE SEGURANÇA",25
RONDÔNIA,"SUSPENSÃO DE TUTELA ANTECIPADA",4
RORAIMA,"AÇÃO CAUTELAR",25
RORAIMA,"AÇÃO CÍVEL ORIGINÁRIA",71
RORAIMA,"AÇÃO DIRETA DE INCONSTITUCIONALIDADE",23
RORAIMA,"AÇÃO ORIGINÁRIA",53
RORAIMA,"AÇÃO PENAL",28
RORAIMA,"AGRAVO DE INSTRUMENTO",813
RORAIMA,"ARGUIÇÃO DE RELEVÂNCIA",21
RORAIMA,"CONFLITO DE JURISDIÇÃO",1
RORAIMA,"HABEAS CORPUS",113
RORAIMA,INQUÉRITO,88
RORAIMA,"MANDADO DE INJUNÇÃO",5
RORAIMA,"MANDADO DE SEGURANÇA",11
RORAIMA,PETIÇÃO,151
RORAIMA,RECLAMAÇÃO,23
RORAIMA,"RECURSO EXTRAORDINÁRIO",703
RORAIMA,"RECURSO EXTRAORDINÁRIO COM AGRAVO",8
RORAIMA,"RECURSO ORDINÁRIO EM HABEAS CORPUS",2
RORAIMA,"SUSPENSÃO DE LIMINAR",4
RORAIMA,"SUSPENSÃO DE SEGURANÇA",8
RORAIMA,"SUSPENSÃO DE TUTELA ANTECIPADA",1
"SANTA CATARINA","AÇÃO CAUTELAR",140
"SANTA CATARINA","AÇÃO CÍVEL ORIGINÁRIA",54
"SANTA CATARINA","AÇÃO DIRETA DE INCONSTITUCIONALIDADE",214
"SANTA CATARINA","AÇÃO DIRETA DE INCONSTITUCIONALIDADE POR OMISSÃO",1
"SANTA CATARINA","AÇÃO ORIGINÁRIA",207
"SANTA CATARINA","AÇÃO PENAL",44
"SANTA CATARINA","AÇÃO RESCISÓRIA",202
"SANTA CATARINA","AGRAVO DE INSTRUMENTO",32029
"SANTA CATARINA","ARGÜIÇÃO DE DESCUMPRIMENTO DE PRECEITO FUNDAMENTAL",3
"SANTA CATARINA","ARGÜIÇÃO DE IMPEDIMENTO",1
"SANTA CATARINA","ARGUIÇÃO DE RELEVÂNCIA",82
"SANTA CATARINA","ARGÜIÇÃO DE SUSPEIÇÃO",2
"SANTA CATARINA","CONFLITO DE COMPETÊNCIA",29
"SANTA CATARINA","HABEAS CORPUS",1518
"SANTA CATARINA","HABEAS DATA",1
"SANTA CATARINA",INQUÉRITO,67
"SANTA CATARINA","INTERVENÇÃO FEDERAL",239
"SANTA CATARINA","MANDADO DE INJUNÇÃO",25
"SANTA CATARINA","MANDADO DE SEGURANÇA",78
"SANTA CATARINA",PETIÇÃO,93
"SANTA CATARINA","PETIÇÃO AVULSA",1
"SANTA CATARINA","PROPOSTA DE SÚMULA VINCULANTE",1
"SANTA CATARINA",RECLAMAÇÃO,650
"SANTA CATARINA","RECURSO EXTRAORDINÁRIO",37488
"SANTA CATARINA","RECURSO EXTRAORDINÁRIO COM AGRAVO",183
"SANTA CATARINA","RECURSO ORD. EM MANDADO DE SEGURANÇA",4
"SANTA CATARINA","RECURSO ORDINÁRIO EM HABEAS CORPUS",72
"SANTA CATARINA",REPRESENTAÇÃO,18
"SANTA CATARINA","REVISÃO CRIMINAL",3
"SANTA CATARINA","SUSPENSÃO DE LIMINAR",27
"SANTA CATARINA","SUSPENSÃO DE SEGURANÇA",162
"SANTA CATARINA","SUSPENSÃO DE TUTELA ANTECIPADA",27
"SÃO PAULO","AÇÃO CAUTELAR",1915
"SÃO PAULO","AÇÃO CÍVEL ORIGINÁRIA",283
"SÃO PAULO","AÇÃO DECLARATÓRIA DE CONSTITUCIONALIDADE",2
"SÃO PAULO","AÇÃO DIRETA DE INCONSTITUCIONALIDADE",268
"SÃO PAULO","AÇÃO ORIGINÁRIA",164
"SÃO PAULO","AÇÃO ORIGINÁRIA ESPECIAL",4
"SÃO PAULO","AÇÃO PENAL",54
"SÃO PAULO","AÇÃO RESCISÓRIA",275
"SÃO PAULO","AGRAVO DE INSTRUMENTO",203158
"SÃO PAULO","ARGÜIÇÃO DE DESCUMPRIMENTO DE PRECEITO FUNDAMENTAL",29
"SÃO PAULO","ARGÜIÇÃO DE IMPEDIMENTO",1
"SÃO PAULO","ARGUIÇÃO DE RELEVÂNCIA",3627
"SÃO PAULO","ARGÜIÇÃO DE SUSPEIÇÃO",3
"SÃO PAULO","CONFLITO DE ATRIBUIÇÕES",1
"SÃO PAULO","CONFLITO DE COMPETÊNCIA",115
"SÃO PAULO","CONFLITO DE JURISDIÇÃO",5
"SÃO PAULO","EXCEÇÃO DA VERDADE",1
"SÃO PAULO","HABEAS CORPUS",23757
"SÃO PAULO","HABEAS DATA",29
"SÃO PAULO",INQUÉRITO,306
"SÃO PAULO","INTERVENÇÃO FEDERAL",3477
"SÃO PAULO","MANDADO DE INJUNÇÃO",164
"SÃO PAULO","MANDADO DE SEGURANÇA",601
"SÃO PAULO","OPOSIÇÃO EM AÇÃO CIVIL ORIGINÁRIA",1
"SÃO PAULO",PETIÇÃO,988
"SÃO PAULO","PETIÇÃO AVULSA",1
"SÃO PAULO","PRISÃO PREVENTIVA PARA EXTRADIÇÃO",1
"SÃO PAULO","PROCESSO ADMINISTRATIVO",1
"SÃO PAULO","PROPOSTA DE SÚMULA VINCULANTE",2
"SÃO PAULO",RECLAMAÇÃO,2966
"SÃO PAULO","RECURSO CRIME",10
"SÃO PAULO","RECURSO EXTRAORDINÁRIO",117688
"SÃO PAULO","RECURSO EXTRAORDINÁRIO COM AGRAVO",2005
"SÃO PAULO","RECURSO ORD. EM MANDADO DE SEGURANÇA",65
"SÃO PAULO","RECURSO ORDINÁRIO EM HABEAS CORPUS",633
"SÃO PAULO",REPRESENTAÇÃO,3
"SÃO PAULO","REVISÃO CRIMINAL",340
"SÃO PAULO","SENTENÇA ESTRANGEIRA",2
"SÃO PAULO","SUSPENSÃO DE LIMINAR",138
"SÃO PAULO","SUSPENSÃO DE SEGURANÇA",804
"SÃO PAULO","SUSPENSÃO DE TUTELA ANTECIPADA",476
SERGIPE,"AÇÃO CAUTELAR",55
SERGIPE,"AÇÃO CÍVEL ORIGINÁRIA",59
SERGIPE,"AÇÃO DIRETA DE INCONSTITUCIONALIDADE",43
SERGIPE,"AÇÃO ORIGINÁRIA",9
SERGIPE,"AÇÃO PENAL",4
SERGIPE,"AÇÃO RESCISÓRIA",3
SERGIPE,"AGRAVO DE INSTRUMENTO",4695
SERGIPE,"ARGÜIÇÃO DE DESCUMPRIMENTO DE PRECEITO FUNDAMENTAL",1
SERGIPE,"ARGUIÇÃO DE RELEVÂNCIA",13
SERGIPE,"EXCEÇÃO DE LITISPENDÊNCIA",1
SERGIPE,"HABEAS CORPUS",206
SERGIPE,INQUÉRITO,31
SERGIPE,"INTERVENÇÃO FEDERAL",6
SERGIPE,"MANDADO DE INJUNÇÃO",5
SERGIPE,"MANDADO DE SEGURANÇA",24
SERGIPE,PETIÇÃO,43
SERGIPE,RECLAMAÇÃO,299
SERGIPE,"RECURSO EXTRAORDINÁRIO",3983
SERGIPE,"RECURSO EXTRAORDINÁRIO COM AGRAVO",85
SERGIPE,"RECURSO ORD. EM MANDADO DE SEGURANÇA",4
SERGIPE,"RECURSO ORDINÁRIO EM HABEAS CORPUS",17
SERGIPE,REPRESENTAÇÃO,1
SERGIPE,"REVISÃO CRIMINAL",2
SERGIPE,"SUSPENSÃO DE LIMINAR",15
SERGIPE,"SUSPENSÃO DE SEGURANÇA",43
SERGIPE,"SUSPENSÃO DE TUTELA ANTECIPADA",1
TOCANTINS,"AÇÃO CAUTELAR",14
TOCANTINS,"AÇÃO CÍVEL ORIGINÁRIA",34
TOCANTINS,"AÇÃO DIRETA DE INCONSTITUCIONALIDADE",57
TOCANTINS,"AÇÃO ORIGINÁRIA",12
TOCANTINS,"AÇÃO PENAL",12
TOCANTINS,"AÇÃO RESCISÓRIA",3
TOCANTINS,"AGRAVO DE INSTRUMENTO",747
TOCANTINS,"ARGÜIÇÃO DE DESCUMPRIMENTO DE PRECEITO FUNDAMENTAL",3
TOCANTINS,"HABEAS CORPUS",134
TOCANTINS,"HABEAS DATA",1
TOCANTINS,INQUÉRITO,45
TOCANTINS,"INTERVENÇÃO FEDERAL",16
TOCANTINS,"MANDADO DE INJUNÇÃO",2
TOCANTINS,"MANDADO DE SEGURANÇA",48
TOCANTINS,PETIÇÃO,61
TOCANTINS,RECLAMAÇÃO,274
TOCANTINS,"RECURSO EXTRAORDINÁRIO",643
TOCANTINS,"RECURSO EXTRAORDINÁRIO COM AGRAVO",11
TOCANTINS,"RECURSO ORD. EM MANDADO DE SEGURANÇA",1
TOCANTINS,"RECURSO ORDINÁRIO EM HABEAS CORPUS",3
TOCANTINS,"SUSPENSÃO DE LIMINAR",9
TOCANTINS,"SUSPENSÃO DE SEGURANÇA",58
TOCANTINS,"SUSPENSÃO DE TUTELA ANTECIPADA",3
