origem,processos
TURMA DE RECURSOS CIVEIS DOS JUIZADOS ESPECIAIS,294
TURMA REC. JUIZADOS ESPECIAIS FEDERAIS,206
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.PARAIBA ,19
COLÉGIO RECURSAL DO JUIZADO ESPECIAL CÍVEL,12
TURMA RECURSAL DE JUIZADOS ESPECIAIS ESTADUAIS,9
TURMA RECURSAL DO JUIZADO ESPECIAL CRIMINAL,4
TURMA RECURSAL DOS JUIZADOS ESPECIAIS FEDERAIS DA 5º REGIÃO,2
JUIZADO ESPECIAL CRIMINAL DE BELO HORIZONTE/MG,1
TURMA REC.CRIM.JUIZ.ESP.COM.DE CAMPINA  GRANDE/PB ,1
1ª TURMA RECURSAL CIVEL DO JUIZADO ESPECIAL/RS,1
JUIZADOS ESPECIAIS CIVEIS E CRIMINAIS DE MANAUS/AM,1
TURMA JULG.CÍVEL JUIZADOS ESPECIAIS DE ANAPOLIS/GO,1
